branch_name,month,year,jumlah_pasien,avg_review,cogs,total_revenue,total_profit,score
RSMA,1,2020,73,2.925925925925926,618794664,704880000.0,86085336.0,0.6375388187068303
RSMA,2,2020,70,3.0185185185185186,591203025,664750000.0,73546975.0,0.6076058995161111
RSMA,3,2020,84,3.189189189189189,673857196,767125000.0,93267804.0,0.7727666359272802
RSMA,4,2020,67,3.018181818181818,477321323,549095000.0,71773677.0,0.5929041874606589
RSMA,5,2020,74,3.0535714285714284,509888578,563490000.0,53601422.0,0.5482533923986466
RSMA,6,2020,64,3.087719298245614,494044814,538590000.0,44545186.0,0.49723288763385537
RSMA,7,2020,61,2.9615384615384617,457764919,481815000.0,24050081.0,0.3698167665723311
RSMA,8,2020,63,3.1666666666666665,434490554,463565000.0,29074446.0,0.456465038802354
RSMA,9,2020,86,2.9859154929577465,572390833,646510000.0,74119167.0,0.6401176134240301
RSMA,10,2020,68,2.88,500401943,563230000.0,62828057.0,0.5181352449038236
RSMA,11,2020,64,3.2115384615384617,471407639,554045000.0,82637361.0,0.6869035599941429
RSMA,12,2020,51,2.4634146341463414,380526058,398825000.0,18298942.0,0.17237243907814162
RSMA,1,2021,70,3.1372549019607843,577144399,620665000.0,43520601.0,0.5229887151386498
RSMA,2,2021,62,2.7708333333333335,503355311,578720000.0,75364689.0,0.5205897432437068
RSMA,3,2021,70,2.7,576461357,647530000.0,71068643.0,0.5021404269475743
RSMA,4,2021,61,3.372549019607843,446501827,511605000.0,65103173.0,0.6574885319339125
RSMA,5,2021,58,3.28,421701988,464845000.0,43143012.0,0.5342940447310495
RSMA,6,2021,75,2.816666666666667,595937373,666300000.0,70362627.0,0.5468082657962128
RSMA,7,2021,72,3.18,543722220,631380000.0,87657780.0,0.7175463798257341
RSMA,8,2021,67,3.2777777777777777,563330744,627460000.0,64129256.0,0.6401615026510312
RSMA,9,2021,77,3.152542372881356,614138636,703790000.0,89651364.0,0.7297930877075189
RSMA,10,2021,55,3.227272727272727,408756372,436755000.0,27998628.0,0.4503363699160254
RSMA,11,2021,65,2.8947368421052633,474164290,519200000.0,45035710.0,0.44381076647963896
RSMA,12,2021,62,2.8035714285714284,433519359,479150000.0,45630641.0,0.41134737714866876
RSMA,1,2022,78,2.9295774647887325,573240080,621825000.0,48584920.0,0.5009733303100095
RSMA,2,2022,51,3.073170731707317,376038539,402510000.0,26471461.0,0.3879973611551042
RSMA,3,2022,59,2.9375,398850447,454185000.0,55334553.0,0.4828769173326104
RSMA,4,2022,57,3.0444444444444443,457830702,518670000.0,60839298.0,0.5319979128898206
RSMA,5,2022,65,3.125,475156600,555970000.0,80813400.0,0.6561422218055454
RSMA,6,2022,65,3.0,431690165,484530000.0,52839835.0,0.5066347265997037
RSMA,7,2022,56,3.2195121951219514,469456419,513930000.0,44473581.0,0.5164782701558677
RSMA,8,2022,51,3.0,353309081,404765000.0,51455919.0,0.46609319019663376
RSMA,9,2022,66,2.9130434782608696,552844878,602725000.0,49880122.0,0.4712001612677815
RSMA,10,2022,66,2.857142857142857,513174354,532685000.0,19510646.0,0.3328256477031686
RSMA,11,2022,70,3.087719298245614,542803100,621355000.0,78551900.0,0.6484040451172483
RSMA,12,2022,60,2.8703703703703702,429317620,478245000.0,48927380.0,0.4395850840071637
RSMA,1,2023,54,3.0,391419494,440955000.0,49535506.0,0.4659033892633194
RSMA,2,2023,46,2.7142857142857144,359006651,395000000.0,35993349.0,0.3059755047708008
RSMA,3,2023,63,2.92,414300600,464750000.0,50449400.0,0.46806634124342095
RSMA,4,2023,75,2.875,520715358,598715000.0,77999642.0,0.5948861814716525
RSMA,5,2023,55,3.3095238095238093,457681837,546515000.0,88833163.0,0.718604378732041
RSMA,6,2023,63,3.0,453318547,516370000.0,63051453.0,0.5425245297967504
RSMA,7,2023,62,3.156862745098039,453862417,512320000.0,58457583.0,0.5686815211633744
RSMA,8,2023,73,3.1206896551724137,589178750,674695000.0,85516250.0,0.693680662542032
RSMA,9,2023,65,2.8333333333333335,506334748,583620000.0,77285252.0,0.554527411975741
RSMA,10,2023,59,2.851063829787234,453265197,468500000.0,15234803.0,0.2963806895199912
RSMA,11,2023,58,2.875,461585119,492355000.0,30769881.0,0.3632667263242365
RSMA,12,2023,57,2.893617021276596,388856297,439455000.0,50598703.0,0.44575044677372067
